comparison,condition,measure,sig,perm_p,x_mean,x_std,y_mean,y_std,mean_diff,ci_lower,ci_upper,t-stat
sherlock_no_case__fnl_has_case,recall,fd_mean,*,0.03659268146370726,0.2869501558585558,0.11608193469299379,0.3779021161348212,0.14212976769479352,-0.0909519602762654,-0.16791029027908466,-0.013691249398370393,-2.249776660083952
sherlock_no_case__fnl_has_case,recall,fd_mean_filter,,0.8568286342731454,0.18139245596517056,0.03438171139508719,0.1796613783999728,0.020072541990758044,0.001731077565197775,-0.01645360242470624,0.01858039027041649,0.18631711386134595
sherlock_no_case__fnl_has_case,recall,fd_median,.,0.055188962207558485,0.24953467529411769,0.09722913846226292,0.3172343557708333,0.11234300185015578,-0.06769968047671562,-0.1298596034916361,-0.004545994670036811,-2.058167524441786
sherlock_no_case__fnl_has_case,recall,fd_median_filter,,0.79124175164967,0.18171751464705882,0.039030163085986426,0.18468214475,0.026390049460479542,-0.0029646301029411792,-0.023959044960906877,0.016972593737040426,-0.27219394859088614
sherlock_no_case__fnl_has_case,recall,perc_spikes,.,0.0621875624875025,0.34542902137697185,0.2301241841400097,0.4903485175197078,0.22687018698551686,-0.14491949614273597,-0.2811003067652962,-0.004957582064489663,-1.9982315286838603
fnl_no_case__sherlock_no_case,view,fd_mean,,0.4887022595480904,0.1126269930899796,0.044803412150721485,0.12106306971855861,0.039028171978948874,-0.008436076628579009,-0.032028196058494704,0.014726668383935429,-0.7033667528218219
fnl_no_case__fnl_has_case,view,fd_mean,,0.4957008598280344,0.1126269930899796,0.044803412150721485,0.1043695260668107,0.04630226641585209,0.008257467023168902,-0.015217153668149424,0.030608765410640587,0.6891237667494692
sherlock_no_case__fnl_has_case,view,fd_mean,,0.22375524895020996,0.12106306971855861,0.039028171978948874,0.1043695260668107,0.04630226641585209,0.01669354365174791,-0.009981970308370464,0.04282901253116335,1.2479813685476766
fnl_no_case__sherlock_no_case,view,fd_mean_filter,,0.1339732053589282,0.09319480441133474,0.025150806077837123,0.1041873626878395,0.02396726374556869,-0.010992558276504763,-0.025141538053887746,0.0022455839028165015,-1.5409850070701177
fnl_no_case__fnl_has_case,view,fd_mean_filter,,0.16736652669466107,0.09319480441133474,0.025150806077837123,0.08377440548098576,0.0262793696895538,0.009420398930348975,-0.003509454409788948,0.02214394839202029,1.390905861991054
sherlock_no_case__fnl_has_case,view,fd_mean_filter,*,0.013597280543891222,0.1041873626878395,0.02396726374556869,0.08377440548098576,0.0262793696895538,0.020412957206853738,0.00538562318483251,0.03585218660951864,2.580711714547811
fnl_no_case__sherlock_no_case,view,fd_median,*,0.04479104179164167,0.08476957810810812,0.028600248874262296,0.10197530912500001,0.028442063313944412,-0.017205731016891893,-0.034109266556066165,-0.0018282060495081877,-2.061006155099571
fnl_no_case__fnl_has_case,view,fd_median,,0.19636072785442912,0.08476957810810812,0.028600248874262296,0.07486409395833331,0.029032163729594287,0.00990548414977481,-0.004796334555039367,0.024169074640343447,1.3094103959640657
sherlock_no_case__fnl_has_case,view,fd_median,**,0.005198960207958408,0.10197530912500001,0.028442063313944412,0.07486409395833331,0.029032163729594287,0.027111215166666702,0.009675340007965737,0.04533607957959563,2.9811487941098624
fnl_no_case__sherlock_no_case,view,fd_median_filter,*,0.022395520895820836,0.08137932136486487,0.02524904018076797,0.09905919904411764,0.02559284978254334,-0.017679877679252776,-0.03249749706508347,-0.0040371942031598084,-2.367669739945565
fnl_no_case__fnl_has_case,view,fd_median_filter,,0.15096980603879223,0.08137932136486487,0.02524904018076797,0.07170299245833334,0.025569405922168397,0.009676328906531528,-0.0031742055672719857,0.022262135660402593,1.4510069823332004
sherlock_no_case__fnl_has_case,view,fd_median_filter,**,0.0015996800639872025,0.09905919904411764,0.02559284978254334,0.07170299245833334,0.025569405922168397,0.027356206585784304,0.012016322578952212,0.043684346550183856,3.3731862415224207
fnl_no_case__sherlock_no_case,view,perc_spikes,,0.46550689862027594,0.04519045824988598,0.047599624009626106,0.03598078534272203,0.04139965131244902,0.00920967290716395,-0.015893787421493968,0.033363336726912794,0.7234568447403878
fnl_no_case__fnl_has_case,view,perc_spikes,,0.9060187962407519,0.04519045824988598,0.047599624009626106,0.04374541452677916,0.048047936171165,0.0014450437231068244,-0.02325927587528833,0.0246345873569828,0.115170303014957
sherlock_no_case__fnl_has_case,view,perc_spikes,,0.5760847830433913,0.03598078534272203,0.04139965131244902,0.04374541452677916,0.048047936171165,-0.007764629184057126,-0.03560041701516948,0.018898656583401823,-0.55319103210487
